sp,mat,prod1,prod2,type,A,n,erg_th,erg_ref
Ar+,PR_,None,None,reflect,0.50,0.0,0.0,0.0
Ar+,PR_,None,None,etch,0.0001,0.0,0.0,0.0
Ar+,Si_,None,None,reflect,0.50,0.0,0.0,0.0
Ar+,Si_,None,None,etch,0.10,0.0,0.0,0.0
Ar+,SiCl_,None,None,reflect,0.50,0.0,0.0,0.0
Ar+,SiCl_,None,None,etch,0.5,0.0,0.0,0.0
Cl,Si_,None,None,reflect,0.50,0.0,0.0,0.0
Cl,Si_,SiCl_,None,chem,0.3,0.0,0.0,0.0
Cl,SiCl_,None,None,reflect,0.50,0.0,0.0,0.0
Cl,SiCl_,None,None,etch,0.1,0.0,0.0,0.0
Cl+,Si_,None,None,reflect,0.50,0.0,0.0,0.0
Cl+,Si_,None,None,etch,0.01,0.0,0.0,0.0
Cl+,SiCl_,None,None,reflect,0.50,0.0,0.0,0.0
Cl+,SiCl_,None,None,etch,0.8,0.0,0.0,0.0
